rank,title,artist,lastPos,peakPos,image
1,TOO BAD (feat. Anderson .Paak),G-DRAGON,1,1,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
2,REBEL HEART,IVE (아이브),3,1,https://image.bugsm.co.kr/album/images/256/41130/4113098.jpg
3,TAKE ME,G-DRAGON,2,2,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
4,ATTITUDE,IVE (아이브),4,1,https://image.bugsm.co.kr/album/images/256/41130/4113098.jpg
5,Whiplash,aespa,5,1,https://image.bugsm.co.kr/album/images/256/41087/4108755.jpg
6,ExtraL (feat. Doechii),제니 (JENNIE),6,2,https://image.bugsm.co.kr/album/images/256/41153/4115394.jpg
7,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,8,1,https://image.bugsm.co.kr/album/images/256/41106/4110623.jpg
8,나는 반딧불,황가람,11,2,https://image.bugsm.co.kr/album/images/256/41087/4108756.jpg
9,APT.,로제(ROSÉ),15,1,https://image.bugsm.co.kr/album/images/256/41086/4108664.jpg
10,Drowning,WOODZ,7,2,https://image.bugsm.co.kr/album/images/256/40839/4083984.jpg
11,toxic till the end,로제(ROSÉ),9,1,https://image.bugsm.co.kr/album/images/256/41113/4111311.jpg
12,IBELONGIIU,G-DRAGON,10,2,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
13,오늘만 I LOVE YOU,BOYNEXTDOOR,13,4,https://image.bugsm.co.kr/album/images/256/41125/4112558.jpg
14,DRAMA,G-DRAGON,14,3,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
15,모르시나요(PROD.로코베리),조째즈,16,8,https://image.bugsm.co.kr/album/images/256/41125/4112579.jpg
16,I DO ME,KiiiKiii (키키),12,2,https://image.bugsm.co.kr/album/images/256/41150/4115087.jpg
17,GYRO-DROP,G-DRAGON,18,6,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
18,HAPPY,DAY6 (데이식스),17,1,https://image.bugsm.co.kr/album/images/256/206298/20629850.jpg
19,Love Hangover (feat. Dominic Fike),제니 (JENNIE),19,2,https://image.bugsm.co.kr/album/images/256/41136/4113699.jpg
20,earthquake,지수(JISOO),20,10,https://image.bugsm.co.kr/album/images/256/41150/4115026.jpg
21,Die With A Smile,Lady GaGa(레이디 가가),21,7,https://image.bugsm.co.kr/album/images/256/356136/35613643.jpg
22,luther,Kendrick Lamar(켄드릭 라마),29,8,https://image.bugsm.co.kr/album/images/256/364328/36432862.jpg
23,Welcome to the Show,DAY6 (데이식스),32,1,https://image.bugsm.co.kr/album/images/256/206298/20629850.jpg
24,너와의 모든 지금,재쓰비 (JAESSBEE),23,2,https://image.bugsm.co.kr/album/images/256/41095/4109588.jpg
25,보나마나 (BONAMANA),G-DRAGON,22,7,https://image.bugsm.co.kr/album/images/256/41156/4115621.jpg
26,PO￦ER,G-DRAGON,24,1,https://image.bugsm.co.kr/album/images/256/41092/4109223.jpg
27,DRIP,BABYMONSTER,25,6,https://image.bugsm.co.kr/album/images/256/41091/4109194.jpg
28,한 페이지가 될 수 있게,DAY6 (데이식스),26,1,https://image.bugsm.co.kr/album/images/256/202657/20265759.jpg
29,청춘만화,이무진,38,4,https://image.bugsm.co.kr/album/images/256/41081/4108180.jpg
30,Supernova,aespa,30,1,https://image.bugsm.co.kr/album/images/256/41011/4101141.jpg
31,UP (KARINA Solo),aespa,31,1,https://image.bugsm.co.kr/album/images/256/41082/4108280.jpg
32,내게 사랑이 뭐냐고 물어본다면,로이킴,33,3,https://image.bugsm.co.kr/album/images/256/206771/20677117.jpg
33,Mantra,제니 (JENNIE),28,1,https://image.bugsm.co.kr/album/images/256/41083/4108354.jpg
34,Not Like Us,Kendrick Lamar(켄드릭 라마),34,17,https://image.bugsm.co.kr/album/images/256/348553/34855300.jpg
35,고민중독,QWER,37,2,https://image.bugsm.co.kr/album/images/256/40996/4099653.jpg
36,내 이름 맑음,QWER,39,1,https://image.bugsm.co.kr/album/images/256/41065/4106548.jpg
37,Supernatural,NewJeans,41,1,https://image.bugsm.co.kr/album/images/256/41027/4102781.jpg
38,The Chase,Hearts2Hearts (하츠투하츠),27,10,https://image.bugsm.co.kr/album/images/256/41154/4115432.jpg
39,number one girl,로제(ROSÉ),35,2,https://image.bugsm.co.kr/album/images/256/41106/4110641.jpg
40,소나기,이클립스 (ECLIPSE),36,3,https://image.bugsm.co.kr/album/images/256/206352/20635260.jpg
41,에피소드,이무진,46,2,https://image.bugsm.co.kr/album/images/256/40941/4094127.jpg
42,미치게 그리워서,황가람,42,23,https://image.bugsm.co.kr/album/images/256/41143/4114309.jpg
43,How Sweet,NewJeans,56,1,https://image.bugsm.co.kr/album/images/256/41006/4100628.jpg
44,Igloo,KISS OF LIFE,51,9,https://image.bugsm.co.kr/album/images/256/41080/4108098.jpg
45,첫 만남은 계획대로 되지 않아,TWS (투어스),40,1,https://image.bugsm.co.kr/album/images/256/40947/4094730.jpg
46,Armageddon,aespa,64,3,https://image.bugsm.co.kr/album/images/256/41011/4101141.jpg
47,I AM,IVE (아이브),47,1,https://image.bugsm.co.kr/album/images/256/40849/4084947.jpg
48,예뻤어,DAY6 (데이식스),48,6,https://image.bugsm.co.kr/album/images/256/200804/20080494.jpg
49,Hug (포옹),RIIZE,50,3,https://image.bugsm.co.kr/album/images/256/41126/4112607.jpg
50,나는 아픈 건 딱 질색이니까,(여자)아이들,45,1,https://image.bugsm.co.kr/album/images/256/40953/4095394.jpg
51,천상연,이창섭,44,8,https://image.bugsm.co.kr/album/images/256/40963/4096392.jpg
52,녹아내려요,DAY6 (데이식스),43,1,https://image.bugsm.co.kr/album/images/256/206680/20668087.jpg
53,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤),53,1,https://image.bugsm.co.kr/album/images/256/202788/20278851.jpg
54,Small girl (feat. 도경수(D.O.)),이영지,52,1,https://image.bugsm.co.kr/album/images/256/41029/4102930.jpg
55,Sticky,KISS OF LIFE,75,1,https://image.bugsm.co.kr/album/images/256/41032/4103276.jpg
56,밤양갱,비비(BIBI),54,1,https://image.bugsm.co.kr/album/images/256/40961/4096123.jpg
57,Bubble Gum,NewJeans,76,2,https://image.bugsm.co.kr/album/images/256/41006/4100628.jpg
58,비의 랩소디,임재현,72,2,https://image.bugsm.co.kr/album/images/256/206088/20608836.jpg
59,헤어지자 말해요,박재정,97,5,https://image.bugsm.co.kr/album/images/256/40856/4085673.jpg
60,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),70,1,https://image.bugsm.co.kr/album/images/256/201547/20154722.jpg
61,Love wins all,아이유(IU),66,1,https://image.bugsm.co.kr/album/images/256/40955/4095501.jpg
62,슬픈 초대장,순순희 (지환),68,20,https://image.bugsm.co.kr/album/images/256/40943/4094328.jpg
63,Hype Boy,NewJeans,49,1,https://image.bugsm.co.kr/album/images/256/40780/4078016.jpg
64,우리의 다정한 계절 속에 (Season of Memories),여자친구(GFRIEND),69,7,https://image.bugsm.co.kr/album/images/256/41125/4112552.jpg
65,After LIKE,IVE (아이브),59,1,https://image.bugsm.co.kr/album/images/256/40789/4078936.jpg
66,숲,최유리,65,13,https://image.bugsm.co.kr/album/images/256/40790/4079006.jpg
67,너의 모든 순간,성시경,83,12,https://image.bugsm.co.kr/album/images/256/4132/413209.jpg
68,Love me or Leave me,DAY6 (데이식스),58,3,https://image.bugsm.co.kr/album/images/256/203237/20323788.jpg
69,청혼하지 않을 이유를 못 찾았어,이무진,77,21,https://image.bugsm.co.kr/album/images/256/40997/4099728.jpg
70,미안해 미워해 사랑해,Crush,96,5,https://image.bugsm.co.kr/album/images/256/40993/4099372.jpg
71,인사,범진,89,7,https://image.bugsm.co.kr/album/images/256/204409/20440993.jpg
72,Cherish (My Love),아일릿(ILLIT),79,7,https://image.bugsm.co.kr/album/images/256/206785/20678516.jpg
73,SPOT! (feat. JENNIE),지코 (ZICO),88,1,https://image.bugsm.co.kr/album/images/256/41005/4100571.jpg
74,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),81,7,https://image.bugsm.co.kr/album/images/256/40901/4090168.jpg
75,Attention,NewJeans,63,1,https://image.bugsm.co.kr/album/images/256/40780/4078016.jpg
76,LOVE DIVE,IVE (아이브),78,1,https://image.bugsm.co.kr/album/images/256/40737/4073710.jpg
77,Supersonic,프로미스나인,61,1,https://image.bugsm.co.kr/album/images/256/41053/4105386.jpg
78,Live My Life,aespa,93,11,https://image.bugsm.co.kr/album/images/256/41011/4101141.jpg
79,STRESS,청하,98,20,https://image.bugsm.co.kr/album/images/256/41144/4114496.jpg
80,Magnetic,아일릿(ILLIT),57,1,https://image.bugsm.co.kr/album/images/256/206323/20632324.jpg
81,Ditto,NewJeans,62,1,https://image.bugsm.co.kr/album/images/256/40824/4082425.jpg
82,사랑인가 봐,멜로망스(MeloMance),100,1,https://image.bugsm.co.kr/album/images/256/40713/4071363.jpg
83,Boom Boom Bass,RIIZE,80,3,https://image.bugsm.co.kr/album/images/256/40997/4099766.jpg
84,Drama,aespa,99,1,https://image.bugsm.co.kr/album/images/256/40929/4092948.jpg
85,주저하는 연인들을 위해,잔나비,67,1,https://image.bugsm.co.kr/album/images/256/202371/20237198.jpg
86,Congratulations,DAY6 (데이식스),82,12,https://image.bugsm.co.kr/album/images/256/5297/529710.jpg
87,"무제(無題) (Untitled, 2014)",G-DRAGON,71,1,https://image.bugsm.co.kr/album/images/256/201018/20101856.jpg
88,Letter To Myself,태연 (TAEYEON),60,1,https://image.bugsm.co.kr/album/images/256/41098/4109844.jpg
89,Spicy,aespa,103,1,https://image.bugsm.co.kr/album/images/256/205634/20563467.jpg
