rank,title,artist,lastPos,isNew,image
1,TOO BAD (feat. Anderson .Paak),G-DRAGON,1,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
2,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,3,False,https://cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg?ca3667d3396803e3f6b227e77440b735/melon/resize/500/optimize/90
3,REBEL HEART,IVE (아이브),2,False,https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg?YUV444/melon/resize/500
4,TAKE ME,G-DRAGON,4,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
5,나는 반딧불,황가람,6,False,https://cdnimg.melon.co.kr/cm2/album/images/116/20/541/11620541_20241018183253_500.jpg?e1d6c3791b15220a80c7dbddc53dfc5c/melon/resize/500/optimize/90
6,모르시나요(PROD.로코베리),조째즈,5,False,https://cdnimg.melon.co.kr/cm2/album/images/116/85/729/11685729_20250106160640_500.jpg?df52a12b8a47356c9d11a91629cd9d7b/melon/resize/500/optimize/90
7,Whiplash,aespa,8,False,https://cdnimg.melon.co.kr/cm2/album/images/116/20/540/11620540_20241018183208_500.jpg?e88933ef18e678ee69ac497989368c77/melon/resize/500/optimize/90
8,DRAMA,G-DRAGON,7,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
9,APT.,로제 (ROSÉ),10,False,https://cdnimg.melon.co.kr/cm2/album/images/116/19/809/11619809_20241018103507_500.jpg?6bf26e2f623ff5208bebf9c51f9e2fcf/melon/resize/500/optimize/90
10,Drowning,WOODZ,9,False,https://cdnimg.melon.co.kr/cm2/album/images/111/83/506/11183506_20230426141236_500.jpg?ed1baf91f606271d73e02b62b18d8333/melon/resize/500/optimize/90
11,오늘만 I LOVE YOU,BOYNEXTDOOR,12,False,https://cdnimg.melon.co.kr/cm2/album/images/116/85/070/11685070_20250106111631_500.jpg?YUV444/melon/resize/500
12,ATTITUDE,IVE (아이브),11,False,https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg?YUV444/melon/resize/500
13,PO￦ER,G-DRAGON,15,False,https://cdnimg.melon.co.kr/cm2/album/images/116/30/124/11630124_20241031100530_500.jpg?680e3a04f6944db156115bd564a69729/melon/resize/500/optimize/90
14,Dash,PLAVE,14,False,https://cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/500/optimize/90
15,IBELONGIIU,G-DRAGON,13,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
16,toxic till the end,로제 (ROSÉ),16,False,https://cdnimg.melon.co.kr/cm2/album/images/116/59/696/11659696_20241205141243_500.jpg?b3d60f3009c2f1cb8ec15eddfe68c134/melon/resize/500/optimize/90
17,HAPPY,DAY6 (데이식스),20,False,https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg?8cb5c0486469bbe05f7dd895ec073d72/melon/resize/500/optimize/90
18,GYRO-DROP,G-DRAGON,17,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
19,RIZZ,PLAVE,19,False,https://cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/500/optimize/90
20,보나마나 (BONAMANA),G-DRAGON,18,False,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/500/optimize/90
21,내게 사랑이 뭐냐고 물어본다면,로이킴,23,False,https://cdnimg.melon.co.kr/cm2/album/images/116/16/312/11616312_20241015135802_500.jpg?7fe2a8e6ea840ef150980dbb829a0bbd/melon/resize/500/optimize/90
22,Island,PLAVE,21,False,https://cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/500/optimize/90
23,Chroma Drift,PLAVE,22,False,https://cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/500/optimize/90
24,12:32 (A to T),PLAVE,24,False,https://cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/500/optimize/90
25,소나기,이클립스 (ECLIPSE),26,False,https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg?d0a5cf78d5ff0fd792ede55996016f66/melon/resize/500/optimize/90
26,사랑은 늘 도망가,임영웅,25,False,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg?7eeae0e5c1f24c5ae9fa04f626e74c34/melon/resize/500/optimize/90
27,DRIP,BABYMONSTER,27,False,https://cdnimg.melon.co.kr/cm2/album/images/116/29/208/11629208_20241101103249_500.jpg?f159abd9425d0ecc502f31263d1b25ee/melon/resize/500/optimize/90
28,Welcome to the Show,DAY6 (데이식스),28,False,https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg?8cb5c0486469bbe05f7dd895ec073d72/melon/resize/500/optimize/90
29,천상연,이창섭,29,False,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg?cdfb359c895c503a708e40d10bdbada7/melon/resize/500/optimize/90
30,Supernova,aespa,30,False,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg?1592e95ebf259717f07c393e684b7395/melon/resize/500/optimize/90
31,한 페이지가 될 수 있게,DAY6 (데이식스),31,False,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg?84c9c2f6f52301ab6327b78cf41efe82/melon/resize/500/optimize/90
32,너와의 모든 지금,재쓰비 (JAESSBEE),33,False,https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg?f23eb5b4bf9b11cb0249d05b7e753b38/melon/resize/500/optimize/90
33,UP (KARINA Solo),aespa,36,False,https://cdnimg.melon.co.kr/cm2/album/images/116/10/170/11610170_20241008143002_500.jpg?0cdf873f233a93b55ac580e686f7cace/melon/resize/500/optimize/90
34,내 이름 맑음,QWER,37,False,https://cdnimg.melon.co.kr/cm2/album/images/115/80/909/11580909_20240923131754_500.jpg?YUV444/melon/resize/500
35,우리들의 블루스,임영웅,32,False,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/500/optimize/90
36,슬픈 초대장,순순희(지환),35,False,https://cdnimg.melon.co.kr/cm2/album/images/113/86/568/11386568_20231218192452_500.jpg?095b1320835e65375f97ae373eb7307f/melon/resize/500/optimize/90
37,온기,임영웅,34,False,https://cdnimg.melon.co.kr/cm2/album/images/114/81/211/11481211_20240503151321_500.jpg?5252a04948996a1b24ae161ff51b100e/melon/resize/500/optimize/90
38,Home,임영웅,38,False,https://cdnimg.melon.co.kr/cm2/album/images/114/81/211/11481211_20240503151321_500.jpg?5252a04948996a1b24ae161ff51b100e/melon/resize/500/optimize/90
39,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),41,False,https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg?c6e307f67cf7124ec13127cd60ab569f/melon/resize/500/optimize/90
40,모래 알갱이,임영웅,40,False,https://cdnimg.melon.co.kr/cm2/album/images/112/58/233/11258233_20230605094802_500.jpg?7bf471c22bdec53ff285fa06b18dcbff/melon/resize/500/optimize/90
41,미치게 그리워서,황가람,39,False,https://cdnimg.melon.co.kr/cm2/album/images/117/10/367/11710367_20250207120041_500.jpg?YUV444/melon/resize/500
42,다시 만날 수 있을까,임영웅,42,False,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/500/optimize/90
43,Love wins all,아이유,44,False,https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg?70df4fcc0f7fdcbc8ccbaf7e8965a913/melon/resize/500/optimize/90
